AdaptStationary::AdaptStationary():
               You make use of the obsolete constructor AdaptStationary::AdaptStationary(...)!
               Please use the constructor that uses references instead of pointers!
183 : 0.0007 : 0.0421456 : 0.000269176 : 1.2 : 0.7
184 : 0.0007 : 0.0421342 : 0.000269138 : 1.2 : 0.7
185 : 0.0007 : 0.0421229 : 0.0002691 : 1.2 : 0.7
186 : 0.0007 : 0.0421116 : 0.000269062 : 1.2 : 0.7
187 : 0.0007 : 0.0421002 : 0.000269024 : 1.2 : 0.7
188 : 0.0007 : 0.0420889 : 0.000268986 : 1.2 : 0.7
189 : 0.0007 : 0.0420776 : 0.000268948 : 1.2 : 0.7
190 : 0.0007 : 0.0420663 : 0.00026891 : 1.2 : 0.7
191 : 0.0007 : 0.042055 : 0.000268872 : 1.2 : 0.7
192 : 0.0007 : 0.0420436 : 0.000268834 : 1.2 : 0.7
193 : 0.0007 : 0.0420323 : 0.000268796 : 1.2 : 0.7
194 : 0.0007 : 0.042021 : 0.000268757 : 1.2 : 0.7
195 : 0.0007 : 0.0420098 : 0.00026872 : 1.2 : 0.7
196 : 0.0007 : 0.0419985 : 0.000268682 : 1.2 : 0.7
197 : 0.0007 : 0.0419872 : 0.000268644 : 1.2 : 0.7
198 : 0.0007 : 0.0419759 : 0.000268606 : 1.2 : 0.7
199 : 0.0007 : 0.0419646 : 0.000268569 : 1.2 : 0.7
200 : 0.0007 : 0.0419534 : 0.00026853 : 1.2 : 0.7
201 : 0.0007 : 0.0419421 : 0.000268493 : 1.2 : 0.7
202 : 0.0007 : 0.0419308 : 0.000268455 : 1.2 : 0.7
203 : 0.0007 : 0.0419196 : 0.000268417 : 1.2 : 0.7
204 : 0.0007 : 0.0419083 : 0.000268379 : 1.2 : 0.7
205 : 0.0007 : 0.0418971 : 0.00026834 : 1.2 : 0.7
206 : 0.0007 : 0.0418859 : 0.000268303 : 1.2 : 0.7
207 : 0.0007 : 0.0418746 : 0.000268264 : 1.2 : 0.7
208 : 0.0007 : 0.0418634 : 0.000268227 : 1.2 : 0.7
209 : 0.0007 : 0.0418522 : 0.000268188 : 1.2 : 0.7
210 : 0.0007 : 0.0418409 : 0.000268151 : 1.2 : 0.7
211 : 0.0007 : 0.0418297 : 0.000268112 : 1.2 : 0.7
212 : 0.0007 : 0.0418185 : 0.000268074 : 1.2 : 0.7
213 : 0.0007 : 0.0418073 : 0.000268036 : 1.2 : 0.7
214 : 0.0007 : 0.0417961 : 0.000267999 : 1.2 : 0.7
215 : 0.0007 : 0.0417849 : 0.000267961 : 1.2 : 0.7
216 : 0.0007 : 0.0417737 : 0.000267923 : 1.2 : 0.7
217 : 0.0007 : 0.0417625 : 0.000267884 : 1.2 : 0.7
218 : 0.0007 : 0.0417513 : 0.000267847 : 1.2 : 0.7
219 : 0.0007 : 0.0417401 : 0.000267809 : 1.2 : 0.7
220 : 0.0007 : 0.041729 : 0.000267771 : 1.2 : 0.7
221 : 0.0007 : 0.0417178 : 0.000267733 : 1.2 : 0.7
222 : 0.0007 : 0.0417066 : 0.000267695 : 1.2 : 0.7
223 : 0.0007 : 0.0416955 : 0.000267657 : 1.2 : 0.7
224 : 0.0007 : 0.0416843 : 0.00026762 : 1.2 : 0.7
225 : 0.0007 : 0.0416731 : 0.000267582 : 1.2 : 0.7
226 : 0.0007 : 0.041662 : 0.000267544 : 1.2 : 0.7
227 : 0.0007 : 0.0416508 : 0.000267506 : 1.2 : 0.7
228 : 0.0007 : 0.0416397 : 0.000267468 : 1.2 : 0.7
229 : 0.0007 : 0.0416286 : 0.00026743 : 1.2 : 0.7
230 : 0.0007 : 0.0416174 : 0.000267392 : 1.2 : 0.7
231 : 0.0007 : 0.0416063 : 0.000267355 : 1.2 : 0.7
232 : 0.0007 : 0.0415952 : 0.000267317 : 1.2 : 0.7
233 : 0.0007 : 0.0415841 : 0.000267279 : 1.2 : 0.7
234 : 0.0007 : 0.041573 : 0.000267241 : 1.2 : 0.7
235 : 0.0007 : 0.0415619 : 0.000267203 : 1.2 : 0.7
236 : 0.0007 : 0.0415508 : 0.000267165 : 1.2 : 0.7
237 : 0.0007 : 0.0415397 : 0.000267127 : 1.2 : 0.7
238 : 0.0007 : 0.0415286 : 0.00026709 : 1.2 : 0.7
239 : 0.0007 : 0.0415175 : 0.000267052 : 1.2 : 0.7
240 : 0.0007 : 0.0415064 : 0.000267014 : 1.2 : 0.7
241 : 0.0007 : 0.0414953 : 0.000266976 : 1.2 : 0.7
242 : 0.0007 : 0.0414842 : 0.000266938 : 1.2 : 0.7
243 : 0.0007 : 0.0414732 : 0.000266901 : 1.2 : 0.7
244 : 0.0007 : 0.0414621 : 0.000266863 : 1.2 : 0.7
245 : 0.0007 : 0.041451 : 0.000266825 : 1.2 : 0.7
246 : 0.0007 : 0.04144 : 0.000266788 : 1.2 : 0.7
247 : 0.0007 : 0.0414289 : 0.000266755 : 1.2 : 0.7
248 : 0.0007 : 0.0414179 : 0.000266711 : 1.2 : 0.7
249 : 0.0007 : 0.0414068 : 0.000266678 : 1.2 : 0.7
250 : 0.0007 : 0.0413958 : 0.000266635 : 1.2 : 0.7
251 : 0.0007 : 0.0413847 : 0.000266597 : 1.2 : 0.7
252 : 0.0007 : 0.0413737 : 0.000266559 : 1.2 : 0.7
253 : 0.0007 : 0.0413627 : 0.000266522 : 1.2 : 0.7
254 : 0.0007 : 0.0413517 : 0.000265507 : 1.2 : 0.7
255 : 0.0007 : 0.0413407 : 0.000264781 : 1.2 : 0.7
256 : 0.0007 : 0.0413298 : 0.000264744 : 1.2 : 0.7
257 : 0.0007 : 0.0413189 : 0.000264708 : 1.2 : 0.7
258 : 0.0007 : 0.0413079 : 0.00026467 : 1.2 : 0.7
259 : 0.0007 : 0.041297 : 0.000264634 : 1.2 : 0.7
260 : 0.0007 : 0.0412861 : 0.000264552 : 1.2 : 0.7
261 : 0.0007 : 0.0412752 : 0.000263619 : 1.2 : 0.7
262 : 0.0007 : 0.0412643 : 0.000263583 : 1.2 : 0.7
263 : 0.0007 : 0.0412534 : 0.000263546 : 1.2 : 0.7
264 : 0.0007 : 0.0412426 : 0.000263511 : 1.2 : 0.7
265 : 0.0007 : 0.0412317 : 0.000263474 : 1.2 : 0.7
266 : 0.0007 : 0.0412208 : 0.000263438 : 1.2 : 0.7
267 : 0.0007 : 0.04121 : 0.000263402 : 1.2 : 0.7
268 : 0.0007 : 0.0411991 : 0.000263365 : 1.2 : 0.7
269 : 0.0007 : 0.0411883 : 0.000263329 : 1.2 : 0.7
270 : 0.0007 : 0.0411774 : 0.000263293 : 1.2 : 0.7
271 : 0.0007 : 0.0411666 : 0.000263257 : 1.2 : 0.7
272 : 0.0007 : 0.0411558 : 0.00026322 : 1.2 : 0.7
273 : 0.0007 : 0.0411449 : 0.000263184 : 1.2 : 0.7
274 : 0.0007 : 0.0411341 : 0.000263148 : 1.2 : 0.7
275 : 0.0007 : 0.0411233 : 0.000263111 : 1.2 : 0.7
276 : 0.0007 : 0.0411125 : 0.000263075 : 1.2 : 0.7
277 : 0.0007 : 0.0411016 : 0.000263039 : 1.2 : 0.7
278 : 0.0007 : 0.0410908 : 0.000263003 : 1.2 : 0.7
279 : 0.0007 : 0.04108 : 0.000262967 : 1.2 : 0.7
280 : 0.0007 : 0.0410692 : 0.00026293 : 1.2 : 0.7
281 : 0.0007 : 0.0410584 : 0.000262894 : 1.2 : 0.7
282 : 0.0007 : 0.0410476 : 0.000262858 : 1.2 : 0.7
283 : 0.0007 : 0.0410368 : 0.000262822 : 1.2 : 0.7
284 : 0.0007 : 0.0410261 : 0.000262785 : 1.2 : 0.7
285 : 0.0007 : 0.0410153 : 0.000262749 : 1.2 : 0.7
286 : 0.0007 : 0.0410045 : 0.000262713 : 1.2 : 0.7
287 : 0.0007 : 0.0409937 : 0.000262677 : 1.2 : 0.7
288 : 0.0007 : 0.040983 : 0.000262641 : 1.2 : 0.7
289 : 0.0007 : 0.0409722 : 0.000262604 : 1.2 : 0.7
290 : 0.0007 : 0.0409614 : 0.000262568 : 1.2 : 0.7
291 : 0.0007 : 0.0409507 : 0.000262532 : 1.2 : 0.7
292 : 0.0007 : 0.0409399 : 0.000262496 : 1.2 : 0.7
293 : 0.0007 : 0.0409292 : 0.00026246 : 1.2 : 0.7
294 : 0.0007 : 0.0409185 : 0.000262423 : 1.2 : 0.7
295 : 0.0007 : 0.0409077 : 0.000262387 : 1.2 : 0.7
296 : 0.0007 : 0.040897 : 0.000262351 : 1.2 : 0.7
297 : 0.0007 : 0.0408863 : 0.000262315 : 1.2 : 0.7
298 : 0.0007 : 0.0408755 : 0.000262279 : 1.2 : 0.7
299 : 0.0007 : 0.0408648 : 0.000262243 : 1.2 : 0.7
300 : 0.0007 : 0.0408541 : 0.000262206 : 1.2 : 0.7
301 : 0.0007 : 0.0408434 : 0.00026217 : 1.2 : 0.7
302 : 0.0007 : 0.0408327 : 0.000262134 : 1.2 : 0.7
303 : 0.0007 : 0.040822 : 0.000262098 : 1.2 : 0.7
304 : 0.0007 : 0.0408113 : 0.000261378 : 1.2 : 0.7
305 : 0.0007 : 0.0408007 : 0.000260396 : 1.2 : 0.7
306 : 0.0007 : 0.0407901 : 0.000260361 : 1.2 : 0.7
307 : 0.0007 : 0.0407794 : 0.000260328 : 1.2 : 0.7
308 : 0.0007 : 0.0407688 : 0.00026029 : 1.2 : 0.7
309 : 0.0007 : 0.0407582 : 0.000260257 : 1.2 : 0.7
310 : 0.0007 : 0.0407476 : 0.000260219 : 1.2 : 0.7
311 : 0.0007 : 0.040737 : 0.000260186 : 1.2 : 0.7
312 : 0.0007 : 0.0407264 : 0.000260149 : 1.2 : 0.7
313 : 0.0007 : 0.0407158 : 0.000260115 : 1.2 : 0.7
314 : 0.0007 : 0.0407052 : 0.000260078 : 1.2 : 0.7
315 : 0.0007 : 0.0406946 : 0.000260044 : 1.2 : 0.7
316 : 0.0007 : 0.0406841 : 0.000260008 : 1.2 : 0.7
317 : 0.0007 : 0.0406735 : 0.000259973 : 1.2 : 0.7
318 : 0.0007 : 0.0406629 : 0.000259937 : 1.2 : 0.7
319 : 0.0007 : 0.0406523 : 0.000259902 : 1.2 : 0.7
320 : 0.0007 : 0.0406418 : 0.000259867 : 1.2 : 0.7
321 : 0.0007 : 0.0406312 : 0.000259832 : 1.2 : 0.7
322 : 0.0007 : 0.0406207 : 0.000259796 : 1.2 : 0.7
323 : 0.0007 : 0.0406101 : 0.000259761 : 1.2 : 0.7
324 : 0.0007 : 0.0405996 : 0.000259726 : 1.2 : 0.7
325 : 0.0007 : 0.040589 : 0.000259691 : 1.2 : 0.7
326 : 0.0007 : 0.0405785 : 0.000259655 : 1.2 : 0.7
327 : 0.0007 : 0.040568 : 0.00025962 : 1.2 : 0.7
328 : 0.0007 : 0.0405574 : 0.000259585 : 1.2 : 0.7
329 : 0.0007 : 0.0405469 : 0.000259549 : 1.2 : 0.7
330 : 0.0007 : 0.0405364 : 0.000259515 : 1.2 : 0.7
331 : 0.0007 : 0.0405259 : 0.000259479 : 1.2 : 0.7
332 : 0.0007 : 0.0405153 : 0.000259444 : 1.2 : 0.7
333 : 0.0007 : 0.0405048 : 0.000259409 : 1.2 : 0.7
334 : 0.0007 : 0.0404943 : 0.000259374 : 1.2 : 0.7
335 : 0.0007 : 0.0404838 : 0.000259339 : 1.2 : 0.7
336 : 0.0007 : 0.0404733 : 0.000259303 : 1.2 : 0.7
337 : 0.0007 : 0.0404628 : 0.000259268 : 1.2 : 0.7
338 : 0.0007 : 0.0404523 : 0.000259233 : 1.2 : 0.7
339 : 0.0007 : 0.0404419 : 0.000259197 : 1.2 : 0.7
340 : 0.0007 : 0.0404314 : 0.000259163 : 1.2 : 0.7
341 : 0.0007 : 0.0404209 : 0.000259127 : 1.2 : 0.7
342 : 0.0007 : 0.0404104 : 0.000259092 : 1.2 : 0.7
343 : 0.0007 : 0.0404 : 0.000259057 : 1.2 : 0.7
344 : 0.0007 : 0.0403895 : 0.000259022 : 1.2 : 0.7
345 : 0.0007 : 0.040379 : 0.000258987 : 1.2 : 0.7
346 : 0.0007 : 0.0403686 : 0.000258951 : 1.2 : 0.7
347 : 0.0007 : 0.0403581 : 0.000258916 : 1.2 : 0.7
348 : 0.0007 : 0.0403477 : 0.000258881 : 1.2 : 0.7
349 : 0.0007 : 0.0403372 : 0.000258846 : 1.2 : 0.7
350 : 0.0007 : 0.0403268 : 0.000258811 : 1.2 : 0.7
351 : 0.0007 : 0.0403164 : 0.000258776 : 1.2 : 0.7
352 : 0.0007 : 0.0403059 : 0.00025874 : 1.2 : 0.7
353 : 0.0007 : 0.0402955 : 0.000258705 : 1.2 : 0.7
354 : 0.0007 : 0.0402851 : 0.00025867 : 1.2 : 0.7
355 : 0.0007 : 0.0402747 : 0.000258635 : 1.2 : 0.7
356 : 0.0007 : 0.0402642 : 0.000258599 : 1.2 : 0.7
357 : 0.0007 : 0.0402538 : 0.000258565 : 1.2 : 0.7
358 : 0.0007 : 0.0402434 : 0.000258529 : 1.2 : 0.7
359 : 0.0007 : 0.040233 : 0.000258494 : 1.2 : 0.7
360 : 0.0007 : 0.0402226 : 0.000258459 : 1.2 : 0.7
361 : 0.0007 : 0.0402122 : 0.000258424 : 1.2 : 0.7
362 : 0.0007 : 0.0402018 : 0.000258389 : 1.2 : 0.7
363 : 0.0007 : 0.0401914 : 0.000258354 : 1.2 : 0.7
364 : 0.0007 : 0.0401811 : 0.000258318 : 1.2 : 0.7
365 : 0.0007 : 0.0401707 : 0.000258283 : 1.2 : 0.7
366 : 0.0007 : 0.0401603 : 0.000258248 : 1.2 : 0.7
367 : 0.0007 : 0.0401499 : 0.000258213 : 1.2 : 0.7
368 : 0.0007 : 0.0401396 : 0.000258178 : 1.2 : 0.7
369 : 0.0007 : 0.0401292 : 0.000258143 : 1.2 : 0.7
370 : 0.0007 : 0.0401189 : 0.000258108 : 1.2 : 0.7
371 : 0.0007 : 0.0401085 : 0.000258073 : 1.2 : 0.7
372 : 0.0007 : 0.0400982 : 0.000258037 : 1.2 : 0.7
373 : 0.0007 : 0.0400878 : 0.000258002 : 1.2 : 0.7
374 : 0.0007 : 0.0400775 : 0.000257967 : 1.2 : 0.7
375 : 0.0007 : 0.0400671 : 0.000257932 : 1.2 : 0.7
